Content,Target
lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468,-1
Join the UK's horniest Dogging service and u can have sex 2nite!. Just sign up and follow the instructions. Txt ENTRY to 69888 now! Nyt.EC2A.3LP.msg@150p,-1
Ok that's great thanx a lot.,0
K..then come wenever u lik to come and also tel vikky to come by getting free time..:-),0
Can you plz tell me the ans. BSLVYL sent via fullonsms.com,0
"#us Boy hurt in California quake: 'I should be dead': DAVIS, Calif. (AP) — Thirteen-year-old Nicholas Di... http://t.co/1hHxBicomv #news",1
The Napa Earthquake by the Numbers http://t.co/mwTxVA6Cwa,0
(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,-1
"#Monsoon floods hit Uttar Pradesh, 200 villages under water #India http://t.co/MzfOwFkmAp",1
Lol that's different. I don't go trying to find every real life photo you ever took.,0
Ew are you one of them?,0
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",0
Aah! A cuddle would be lush! I'd need lots of tea and soup before any kind of fumbling!,0
"USGS reports a M1.35 #earthquake 38km W of Seeley, California on 8/25/14 @ 19:25:45 UTC http://t.co/Q7efGW2agX #quake",0
RT @markdubya: Jawbone reports on Napa earthquake using user data to show how many people woke up http://t.co/uQ4s3tI5lp http://t.co/D1TVR0…,0
"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!",0
You have won a guaranteed 32000 award or maybe even �1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???,-1
K do I need a login or anything,0
This weekend is fine (an excuse not to do too much decorating),0
U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,-1
I really gotta wake up in 5 hours to work out 😅 I gotta force myself to sleep.,-1
"Good afternoon, my love ... How goes your day ? How did you sleep ? I hope your well, my boytoy ... I think of you ...",0
No he didn't. Spring is coming early yay!,0
RT @GMA: This is what Northern California looks like after an earthquake: http://t.co/G9bzTJ8roz,0
RT @NigerianNewz: {PUNCHNEWS} Death toll in India landslides rises to 109: The death toll from landslides and flooding triggered... http://…,1
1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face  &lt;#&gt; .joker face.,0
Don't necessarily expect it to be done before you get back though because I'm just now headin out,0
You have to pls make a note of all she.s exposed to. Also find out from her school if anyone else was vomiting. Is there a dog or cat in the house? Let me know later.,0
RT @JustinChungArt: Bad: Yesterday's #California #quake messed up my shelves. Good: Had reason to redo my action figure display. #sanfranci…,-1
Can. Dunno wat to get 4 her...,0
"Monsoon floods hit north India, 1,500 villages under water: Thousands were marooned in villages in UP, where t... http://t.co/25x9dzjdzQ",1
Noooooooo please. Last thing I need is stress. For once in your life be fair.,0
Prabha..i'm soryda..realy..frm heart i'm sory,0
Nothin comes to my mind. �� help me buy hanger lor. Ur laptop not heavy?,0
Great comedy..cant stop laughing da:),0
RT @KUNGfu_Kam1: California is so lucky😩 they had a damn earthquake and they been out of school for 2 days 😩😩,-1
Close Call! Glass Pierces Little Girl's Pillow During Napa Earthquake http://t.co/XdVARLrJLK http://t.co/lCzcPz3byF,0
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0
"Monsoon crisis in North India: At least 28 killed and 10,000 made homeless as flash floods strike eastern UP: The... http://t.co/RojDvpz1LN",1
"Gosh that , what a pain. Spose I better come then.",0
Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.,0
"seee “@KalebNation: That wasn’t an earthquake, California, that was God rolling out the red carpet for Beyonce. #VMAs”",-1
Pls she needs to dat slowly or she will vomit more.,0
Ok. No wahala. Just remember that a friend in need ...,0
RT @NatGeo: What caused California's Napa Valley earthquake? http://t.co/i3HohKA4F1,0
Dont flatter yourself... Tell that man of mine two pints of carlin in ten minutes please....,0
"Wn u r hurt by d prsn who s close 2 u, do fight wit dem. Coz somtimes dis fight saves a relation bt being quiet leaves nothin in a relation.. Gud eveB-)",0
http://t.co/5SXGn2WgVE California earthquake: Kids skateboard o @INSubcontinent #INSubcontinent #World http://t.co/QoWc99z5wm,0
RT @sal_castaneda: Oakland Raiders are donating 50-thousand dollars to the Napa area earthquake relief effort. #napaquake http://t.co/NY3By…,0
Nope but i'll b going 2 sch on fri quite early lor cos mys sis got paper in da morn :-),0
"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.",0
"That's what I love to hear :V see you sundayish, then",0
Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp �1.50/msg,-1
"Photo: breakingnews: At least 180 dead in monsoon flooding in Nepal, India AP: The death toll from three... http://t.co/UNZA1G0U83",1
RT @WizdomsTweets: Me after running up the stairs http://t.co/e2ZcBMLZVd,-1
"Flood situation in Assam grim, toll rises to 3 - Times of India http://t.co/umdxfMYBgm",0
California quake damages historic buildings: The strongest quake to hit the Bay Area in 25 years injured dozen... http://t.co/RlrnobzSxT,1
RT @mandari6: England GBR Grimsby http://t.co/Ar6BRhI3jE BREAKING NEWS 262 California earthquake California earthquake: wine country clears…,0
Leave it de:-). Start Prepare for next:-)..,0
"RT @News24lHOT: California USA El Monte » http://t.co/tnVywmDYmc  #earthquake 302 Dozens injured, 3 critically, after strong earthquake in …",1
"RT @extinctsymbol: India: Farmers kill all the large predators, then the prey species increase and damage crops, so they kill them too: htt…",1
About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.,0
"#News #MostRecent Hundreds dead as monsoon brings chaos to northern India, Nepal http://t.co/qAvG3JwEDh via @CNN",1
Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx,0
@bbcworldservice Floods and landslides kill at least 160 after torrential rain  Nepal India  http://t.co/OVaUUkvRlD  http://t.co/XzcrzbNsEy,1
Shuhui say change 2 suntec steamboat? U noe where? Where r u now?,0
Joy's father is John. Then John is the NAME of Joy's father. Mandan,0
Hey sexy buns! What of that day? No word from you this morning on YM ... :-( ... I think of you,0
Strong California quake shakes famed wine country - The Seattle Times http://t.co/ntynfhHRwR,0
"#Indian #India Flood Fury in North India: Dozens Killed, Lakhs Affected: Heavy monsoon rains... http://t.co/KBr3uXJWcR #SuryaRay @SuryaRay",1
"kuuky__frez Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been damaged... http://t.co/n6A4TnuplR kuuky__frez",1
"Hiya, had a good day? Have you spoken to since the weekend?",0
Dip's cell dead. So i m coming with him. U better respond else we shall come back.,0
#California #earthquake: #Bay #area picks up pieces after #strongest #quake in #25 #years: Editor’s note: Are you… http://t.co/j9uwUrqq3W,0
Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app,-1
"【#USGS #Breaking】 M 1.5, 5km SE of Big Bear Lake, California http://t.co/C2zPAtyRcE #PastHour #148 #earthquake #tsunami #prayfromjapan",0
I���m parked next to a MINI!!!! When are you coming in today do you think?,0
"Thanks, I'll keep that in mind",0
Pls speak with me. I wont ask anything other then you friendship.,0
RT @geogabout: VIDEO - Northern California #earthquake the strongest in 25 years http://t.co/cvNlm7rrWg http://t.co/74oxbjuCJb,0
Badrith is only for chennai:)i will surely pick for us:)no competition for him.,0
2 and half years i missed your friendship:-),0
RT @SEBHEUPDATE: Many dead in Nepal and India floods http://t.co/FSztHJrbFO #SEBHEUPDATE,1
Why tired what special there you had,0
Nothing just getting msgs by dis name wit different no's..,0
Wat u doing there?,0
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",-1
Nope i waiting in sch 4 daddy...,0
"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. �1.50 increments. Help08718728876",-1
RT @_Laceeeeee: @TaylorMapp lol shut up,-1
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. �1.50 SP:Tyrone,-1
"180 dead as floods wash away homes in Nepal, India… http://t.co/ylM4r0n4Dm #WorldNews http://t.co/dV6OQyeBPj",1
I don't know but I'm raping dudes at poker,0
India's spectacular series defeat against England set off a flood of angry criticism,-1
RT @GirishB: The California attitude towards earthquakes - spirit of Napa #napaearthquake #nbcbayarea http://t.co/e7TCDemE0C,0
K:)all the best:)congrats...,0
Haiyoh... Maybe your 0ster was jealous of million,0
&lt;DECIMAL&gt; m but its not a common car here so its better to buy from china or asia. Or if i find it less expensive. I.ll holla,0
Watching ajith film ah?,0
"http://t.co/Iq6q1C8E18 #DESI #TEEN #PORN #NAKED #HORNY #LATINA #lol #girl #bitch""Scores Killed in Flooding in Nepal and India""",1
"Hey there! Glad u r better now. I hear u treated urself to a digi cam, is it good? We r off at 9pm. Have a fab new year, c u in coupla wks!",0
Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just �1.50 per wk 2 opt out send STOP 08452810071 16,-1
Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck?,0
"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later.",0
RT @anexxia: Please consider donating if you can: Napa Humane is caring for pets whose owners are in shelters: http://t.co/sC8MxQIO8E #napa…,0
Umma. Did she say anything,0
kool aid &amp; top ramen was my diet growing up &amp; still is to this day tbh,-1
Wherre's my boytoy ? :-(,0
"Deadly monsoon hits India, Nepal  via @josephjett #news http://t.co/XjicuOnu02",0
Yup i've finished c �_ there...,0
Yes watching footie but worried we're going to blow it - Phil Neville?,0
U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,-1
Hanging out with my brother and his family,0
"No, its true..k,Do u knw dis no. &lt;#&gt; ?",0
Sorry i cant take your call right now. It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.,0
RT @IdeaGov: Early-warning system sent alert before South Napa earthquake http://t.co/ZascvWW9vg via @abc7,1
A look at earthquake's impact on California region http://t.co/CXdCSL12ls,0
Sorry da. I gone mad so many pending works what to do.,0
Ok pa. Nothing problem:-),0
"RT @ginalimp: → USA http://t.co/4tBKM5vpzc → Dozens injured, 3 critically, after strong earthquake in California USA → (CNN) -- A 6.0-magni…",1
RT @NapaVintners: TY to all who sent messages of help &amp; support. We continue to update info as we can see http://t.co/uOsMrLe74b #NVV #napa…,0
Losses From California Quake Could Top $1 Billion - New York Times: New York TimesLosses From California Quake... http://t.co/ig8Fac6TkG,0
[ChesCo Entertnmt] Quake causes $1B in damage to Napa wine country http://t.co/JyLXEeG8Kv,1
Prayers out to India and Nepal,0
How much u trying to get?,0
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,0
"Cool, text me when you're parked",0
"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?",0
"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",0
RT @DCClothesline: Why The Earthquake Near San Francisco Is Just The Start Of The Shaking In California http://t.co/JfoEtYeXLA,0
"RT @shane_bauer: In Norways maximum security prison, cells have fridges, flat screen TVs. Metal forks. ""They're really hung up on that whol…",-1
I love California and lived in Sacramento for a period but NAH YO. I'm not getting taken out by an earthquake. I'm good on all that.,0
Just sleeping..and surfing,0
"Wait, do you know if wesleys in town? I bet she does hella drugs!",0
I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay,0
Its just the effect of irritation. Just ignore it,0
We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705,-1
"RT @ibnlive: Nepal: Floods, landslides kill 240 people, India announces relief fund of NRs 48 million http://t.co/Z3jtowTZqV",1
I've told you everything will stop. Just dont let her get dehydrated.,0
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0
U still painting ur wall?,0
How about buying ONLY NAPA wines To help those in trouble from the earthquake last night.,0
"Sorry, I'll call later",0
"Oh, my love, it's soooo good to hear from you. Omg I missed you so much today. I'm sorry your having problems with the provider but thank you for tming me",0
Yup,0
"Hey babe, my friend had to cancel, still up for a visit ?",0
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,-1
COME BACK TO TAMPA FFFFUUUUUUU,0
They r giving a second chance to rahul dengra.,0
Yup... Ok i go home look at the timings then i msg �_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0
Hey morning what you come to ask:-) pa...,0
She left it very vague. She just said she would inform the person in accounting about the delayed rent and that i should discuss with the housing agency about my renting another place. But checking online now and all places around usc are  &lt;#&gt;  and up,0
"Hello, As per request from  &lt;#&gt;  Rs.5 has been transfered to you",0
Or I guess  &lt;#&gt;  min,0
More than 120 injured as quake strikes heart of California wine country – Montreal Gazette http://t.co/dUDeRPUX2g,1
Lol please do. Actually send a pic of yourself right now. I wanna see. Pose with a comb and hair dryer or something.,0
"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*",0
RT @nicksmithnews: NEW: @CaltransHQ repairing damaged sections of #Maxwell Bridge over #NapaRiver #NapaQuake #mapit http://t.co/wRzYUJrHvV,1
The greatest test of courage on earth is to bear defeat without losing heart....gn tc,0
"Natural Hazard – Severe Flood Event: Uttar Pradesh Region, India: Natural Hazard – Severe Flood Event Asia –  ... http://t.co/TqPQrbkNuh",0
Lol I was gonna last month. I cashed some in but I left &lt;#&gt; just in case. I was collecting more during the week cause they announced it on the blog.,0
"Nepal and India trying to cope with fallout from monsoon flooding, landslides http://t.co/NWLufpBAZR",0
"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?",0
"VIDEO- Billions of dollars of wine rocked in California earthquake: NAPA VALLEY, Calif. - Napa is one of the n... http://t.co/u32ZGUK8uQ",1
Why don't you wait 'til at least wednesday to see if you get your .,0
"Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning",0
I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?,0
RT @abc7newsBayArea: San Francisco Mayor Ed Lee toured #quake damage in Napa this morning and offered help: http://t.co/25hYoM797Q #earthqu…,0
RT @Ron_Sansone: Why do I think that had the California earthquake hit a city like Oakland instead of Napa the looting and vandalism would …,0
"#openfollow Deadly monsoon hits India, Nepal http://t.co/nCWn8qCqHn #followback",1
RT @denversolarguy: Napa Wine Industry Quake Help Forum Created (WineReviewBlog): Share With Friends:  |  | Science - Environment ... http:…,0
Earthquake Warning Systems Exist. But California Won't Pay for One. http://t.co/662RP7CwY8 #UniteBlue,0
Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,0
hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?,0
RT @ginalimp: ♦ http://t.co/WWTZ9Ih1Nt 349 ♦ Earthquake ♦ Northern California braces for aftershocks after magnitude 6.0 earthquake http://…,0
Eh u send wrongly lar...,0
Boy hurt in California quake: 'I should be dead': A 13-year-old boy who was seriously injured by fa... http://t.co/QniHQSJLo7 #USA #News,1
"Princess, i like to make love  &lt;#&gt;  times per night. Hope thats not a problem!",0
Lmao. Take a pic and send it to me.,0
Arun can u transfr me d amt,0
(#Byy) Scores Killed in Flooding in Nepal and India http://t.co/Q6mWrDKQCR (#MaiiCool),1
"A 6.0 magnitude earthquake hit Northern California this weekend. Are you as prepared as you should be if the ""big one"" hits B.C.? #cbc",1
"Recovering from quake, Napa County requests federal disaster assistance: The Napa County Board of Supervisors... http://t.co/wQ6KqegpFP",0
I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,0
RT @josieman14: I'm starting get really fed up with some people💤 not everyday be rude,-1
Did u got that persons story,0
Many dead in Nepal and India floods #NewsAd link http://t.co/G4pOSwYWXd,1
"Ok. Not much to do here though. H&M Friday, cant wait. Dunno wot the hell im gonna do for another 3 weeks! Become a slob- oh wait, already done that! ",0
I called but no one pick up e phone. I ask both of them already they said ok.,0
Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,0
Losses from Napa earthquake could top $4 billion - Boston Globe http://t.co/UyNt69LeYs #earthquakesf #NAPA #earthquake,0
"Landslides, floods leave 77 dead and thousands homeless in Nepal, India - http://t.co/GtguN90BIs",1
Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,-1
